seen:  0  | processed:  0
seen:  169  | processed:  178
seen:  149  | processed:  165
seen:  84  | processed:  162
seen:  0  | processed:  0
seen:  140  | processed:  156
seen:  0  | processed:  0
seen:  0  | processed:  30
seen:  8  | processed:  75
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  1  | processed:  31
seen:  153  | processed:  310
seen:  44  | processed:  60
seen:  29  | processed:  37
seen:  0  | processed:  0
seen:  20  | processed:  109
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  5  | processed:  23
seen:  125  | processed:  212
seen:  5  | processed:  26
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  1  | processed:  1
seen:  0  | processed:  0
seen:  0  | processed:  53
seen:  1  | processed:  22
seen:  19  | processed:  68
seen:  11  | processed:  59
seen:  10  | processed:  23
seen:  0  | processed:  14
seen:  24  | processed:  122
seen:  6  | processed:  44
seen:  33  | processed:  132
seen:  19  | processed:  87
seen:  15  | processed:  60
seen:  167  | processed:  361
seen:  24  | processed:  101
seen:  175  | processed:  369
seen:  85  | processed:  375
seen:  35  | processed:  166
seen:  163  | processed:  375
seen:  123  | processed:  379
seen:  111  | processed:  375
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  189  | processed:  392
seen:  193  | processed:  327
seen:  127  | processed:  306
seen:  0  | processed:  0
seen:  0  | processed:  22
seen:  0  | processed:  21
seen:  1  | processed:  1
seen:  2  | processed:  13
seen:  1  | processed:  1
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  130  | processed:  318
seen:  5  | processed:  28
seen:  21  | processed:  92
seen:  0  | processed:  0
seen:  10  | processed:  38
seen:  4  | processed:  36
seen:  4  | processed:  35
seen:  77  | processed:  218
seen:  0  | processed:  20
seen:  63  | processed:  144
seen:  9  | processed:  87
seen:  5  | processed:  66
seen:  0  | processed:  0
seen:  86  | processed:  260
seen:  79  | processed:  215
seen:  0  | processed:  0
seen:  2  | processed:  41
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  21  | processed:  161
seen:  25  | processed:  87
seen:  25  | processed:  89
seen:  25  | processed:  112
seen:  25  | processed:  102
seen:  34  | processed:  141
seen:  24  | processed:  172
seen:  20  | processed:  151
seen:  70  | processed:  324
seen:  10  | processed:  31
seen:  128  | processed:  347
seen:  28  | processed:  152
seen:  65  | processed:  246
seen:  92  | processed:  357
seen:  8  | processed:  46
seen:  0  | processed:  0
seen:  0  | processed:  9
seen:  1  | processed:  38
seen:  39  | processed:  324
seen:  25  | processed:  168
seen:  4  | processed:  48
seen:  20  | processed:  138
seen:  0  | processed:  34
seen:  30  | processed:  180
seen:  27  | processed:  162
seen:  24  | processed:  342
seen:  2  | processed:  25
seen:  52  | processed:  246
seen:  41  | processed:  334
seen:  0  | processed:  24
seen:  0  | processed:  2
seen:  2  | processed:  48
seen:  34  | processed:  380
seen:  2  | processed:  13
seen:  0  | processed:  10
seen:  0  | processed:  0
seen:  12  | processed:  76
seen:  0  | processed:  0
seen:  0  | processed:  9
seen:  6  | processed:  85
seen:  0  | processed:  8
seen:  2  | processed:  13
seen:  4  | processed:  61
seen:  4  | processed:  58
seen:  25  | processed:  103
seen:  0  | processed:  0
seen:  29  | processed:  89
seen:  0  | processed:  98
seen:  11  | processed:  218
seen:  5  | processed:  66
seen:  0  | processed:  0
seen:  33  | processed:  259
seen:  25  | processed:  170
seen:  38  | processed:  354
seen:  31  | processed:  326
seen:  39  | processed:  138
seen:  27  | processed:  164
seen:  4  | processed:  39
seen:  28  | processed:  156
seen:  37  | processed:  282
seen:  72  | processed:  358
seen:  4  | processed:  114
seen:  2  | processed:  31
seen:  36  | processed:  186
seen:  2  | processed:  27
seen:  1  | processed:  2
seen:  11  | processed:  92
seen:  34  | processed:  335
seen:  0  | processed:  0
seen:  0  | processed:  2
seen:  49  | processed:  213
seen:  22  | processed:  148
seen:  4  | processed:  40
seen:  17  | processed:  155
seen:  3  | processed:  35
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  52
seen:  0  | processed:  8
seen:  35  | processed:  266
seen:  174  | processed:  409
seen:  39  | processed:  167
seen:  14  | processed:  95
seen:  5  | processed:  115
seen:  0  | processed:  0
seen:  2  | processed:  29
seen:  0  | processed:  0
seen:  64  | processed:  377
seen:  1  | processed:  2
seen:  22  | processed:  118
seen:  0  | processed:  0
seen:  9  | processed:  58
seen:  0  | processed:  0
seen:  5  | processed:  67
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  5  | processed:  47
seen:  4  | processed:  72
seen:  3  | processed:  34
seen:  173  | processed:  405
seen:  0  | processed:  24
seen:  0  | processed:  8
seen:  0  | processed:  98
seen:  0  | processed:  0
seen:  13  | processed:  72
seen:  0  | processed:  0
seen:  0  | processed:  37
seen:  7  | processed:  179
seen:  2  | processed:  135
seen:  46  | processed:  118
seen:  44  | processed:  326
seen:  47  | processed:  147
seen:  25  | processed:  369
seen:  8  | processed:  146
seen:  0  | processed:  0
seen:  22  | processed:  113
seen:  0  | processed:  1
seen:  1  | processed:  47
seen:  59  | processed:  161
seen:  31  | processed:  354
seen:  37  | processed:  264
seen:  10  | processed:  356
seen:  0  | processed:  0
seen:  17  | processed:  94
seen:  0  | processed:  0
seen:  36  | processed:  340
seen:  0  | processed:  0
seen:  0  | processed:  34
seen:  1  | processed:  16
seen:  0  | processed:  0
seen:  0  | processed:  30
seen:  2  | processed:  31
seen:  12  | processed:  234
seen:  7  | processed:  145
seen:  34  | processed:  408
seen:  1  | processed:  61
seen:  1  | processed:  38
seen:  23  | processed:  258
seen:  0  | processed:  0
seen:  18  | processed:  234
seen:  14  | processed:  76
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  46  | processed:  347
seen:  10  | processed:  160
seen:  0  | processed:  0
seen:  19  | processed:  152
seen:  0  | processed:  30
seen:  0  | processed:  41
seen:  55  | processed:  147
seen:  23  | processed:  265
seen:  37  | processed:  187
seen:  4  | processed:  64
seen:  1  | processed:  44
seen:  36  | processed:  156
seen:  1  | processed:  42
seen:  0  | processed:  30
seen:  0  | processed:  13
seen:  6  | processed:  163
seen:  0  | processed:  0
seen:  0  | processed:  6
seen:  22  | processed:  302
seen:  37  | processed:  394
seen:  35  | processed:  329
seen:  24  | processed:  154
seen:  8  | processed:  159
seen:  30  | processed:  411
seen:  0  | processed:  0
seen:  0  | processed:  8
seen:  0  | processed:  5
seen:  9  | processed:  359
seen:  0  | processed:  16
seen:  0  | processed:  1
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  2
seen:  0  | processed:  34
seen:  46  | processed:  111
seen:  0  | processed:  7
seen:  0  | processed:  18
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  2
seen:  4  | processed:  104
seen:  0  | processed:  0
seen:  5  | processed:  150
seen:  17  | processed:  313
seen:  2  | processed:  69
seen:  0  | processed:  14
seen:  0  | processed:  0
seen:  0  | processed:  16
seen:  2  | processed:  237
seen:  51  | processed:  154
seen:  37  | processed:  153
seen:  27  | processed:  347
seen:  0  | processed:  36
seen:  9  | processed:  273
seen:  2  | processed:  325
seen:  0  | processed:  322
seen:  21  | processed:  167
seen:  3  | processed:  74
seen:  7  | processed:  170
seen:  47  | processed:  413
seen:  9  | processed:  366
seen:  33  | processed:  372
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  14  | processed:  127
seen:  7  | processed:  178
seen:  21  | processed:  106
seen:  0  | processed:  16
seen:  0  | processed:  0
seen:  0  | processed:  1
seen:  0  | processed:  0
seen:  5  | processed:  157
seen:  9  | processed:  318
seen:  1  | processed:  57
seen:  9  | processed:  169
seen:  1  | processed:  66
seen:  3  | processed:  326
seen:  4  | processed:  148
seen:  1  | processed:  31
seen:  7  | processed:  52
seen:  3  | processed:  69
seen:  6  | processed:  128
seen:  7  | processed:  110
seen:  1  | processed:  135
seen:  1  | processed:  42
seen:  27  | processed:  165
seen:  0  | processed:  25
seen:  32  | processed:  405
seen:  0  | processed:  0
seen:  24  | processed:  150
seen:  0  | processed:  0
seen:  0  | processed:  0
seen:  30  | processed:  148
seen:  2  | processed:  80
seen:  65  | processed:  421
seen:  0  | processed:  1
seen:  8  | processed:  226
seen:  0  | processed:  50
seen:  0  | processed:  0
seen:  5  | processed:  226
