seen:  5  | processed:  157
seen:  47  | processed:  413
seen:  4  | processed:  148
seen:  6  | processed:  128
seen:  30  | processed:  148
seen:  1  | processed:  31
seen:  0  | processed:  0
seen:  32  | processed:  405
seen:  0  | processed:  0
seen:  27  | processed:  165
seen:  0  | processed:  25
seen:  2  | processed:  80
seen:  65  | processed:  421
seen:  0  | processed:  0
seen:  5  | processed:  226
seen:  0  | processed:  1
seen:  1  | processed:  135
seen:  8  | processed:  226
seen:  0  | processed:  50
seen:  0  | processed:  0
