time_stamps,processed_1_not_processed_0
2002147.1820,0
2002147.1955,0
2002147.2000,0
2002148.1900,0
2002148.1905,0
2002149.1805,0
2002149.1810,0
2002149.1945,0
2002149.1950,0
2002150.1850,0
2002150.1855,0
2002151.1755,0
2002151.1930,0
2002151.1935,0
2002152.1835,0
2002152.1840,0
2002152.2015,0
2002153.1740,0
2002153.1745,0
2002153.1920,0
2002153.1925,0
2002154.1825,0
2002154.1830,0
2002154.2005,0
2002155.1730,0
2002155.1905,0
2002155.1910,0
2002155.2045,0
2002156.1810,0
2002156.1815,0
2002156.1950,0
2002156.1955,0
2002157.1855,0
2002157.1900,0
2002158.1800,0
2002158.1805,0
2002158.1940,0
2002159.1845,0
2002159.2020,0
2002160.1745,0
2002160.1750,0
2002160.1925,0
2002160.1930,0
2002161.1830,0
2002161.1835,0
2002161.2010,0
2002162.1735,0
2002162.1740,0
2002162.1915,0
2002162.2050,0
2002163.1820,0
2002163.1955,0
2002163.2000,0
2002164.1900,0
2002164.1905,0
2002165.1805,0
2002165.1810,0
2002165.1945,0
2002165.1950,0
2002166.1850,0
2002167.1755,0
2002167.1930,0
2002167.1935,0
2002168.1835,0
2002168.1840,0
2002168.2015,0
2002169.1740,0
2002169.1745,0
2002169.1920,0
2002169.1925,0
2002170.2005,0
2002171.1730,0
2002171.1905,0
2002171.1910,0
2002172.1810,0
2002172.1815,0
2002172.1950,0
2002172.1955,0
2002173.1855,0
2002173.1900,0
2002174.1800,0
2002174.1805,0
2002174.1940,0
2002175.1845,0
2002175.2020,0
2002176.1745,0
2002176.1750,0
2002176.1925,0
2002176.1930,0
2002177.1830,0
2002177.1835,0
2002177.2010,0
2002178.1735,0
2002178.1740,0
2002178.1915,0
2002178.2050,0
2002179.1820,0
2002179.1955,0
2002179.2000,0
2002180.1900,0
2002180.1905,0
2002181.1805,0
2002181.1810,0
2002181.1945,0
2002181.1950,0
2002182.1850,0
2002182.1855,0
2002183.1755,0
2002183.1930,0
2002183.1935,0
2002184.1835,0
2002184.1840,0
2002184.2015,0
2002185.1740,0
2002185.1745,0
2002185.1920,0
2002185.1925,0
2002186.1825,0
2002186.1830,0
2002186.2005,0
2002187.1730,0
2002187.1905,0
2002187.1910,0
2002187.2045,0
2002188.1810,0
2002188.1815,0
2002188.1950,0
2002188.1955,0
2002189.1855,0
2002189.1900,0
2002190.1800,0
2002190.1805,0
2002190.1940,0
2002191.1845,0
2002191.2020,0
2002192.1745,0
2002192.1750,0
2002192.1925,0
2002192.1930,0
2002193.1830,0
2002193.1835,0
2002193.2010,0
2002194.1735,0
2002194.1740,0
2002194.1915,0
2002195.1820,0
2002195.1955,0
2002195.2000,0
2002196.1900,0
2002196.1905,0
2002197.1805,0
2002197.1810,0
2002197.1945,0
2002197.1950,0
2002198.1850,0
2002198.1855,0
2002199.1755,0
2002199.1930,0
2002199.1935,0
2002200.1835,0
2002200.1840,0
2002200.2015,0
2002201.1740,0
2002201.1745,0
2002201.1920,0
2002201.1925,0
2002202.1825,0
2002202.1830,0
2002202.2005,0
2002203.1730,0
2002203.1905,0
2002203.1910,0
2002203.2045,0
2002204.1810,0
2002204.1815,0
2002204.1950,0
2002204.1955,0
2002205.1855,0
2002205.1900,0
2002206.1800,0
2002206.1805,0
2002206.1940,0
2002207.1845,0
2002207.2020,0
2002208.1745,0
2002208.1750,0
2002208.1925,0
2002208.1930,0
2002209.1830,0
2002209.1835,0
2002209.2010,0
